;"GERÊNCIA DE SUPRIMENTOS
LISTA DE ITENS VIGENTES EM ATAS E CONTRATOS - ATT 12/08/2026";;;;;;;;;;;
;COD. PRODUTO FLUIG;CONTRATO;ENTIDADE;STATUSCONTRATO;FORNECEDOR;DATA INICIO;DATA FIM;IDPRD RM;NOME FANTASIA;DESC. PRODUTO;R$ TOTAL CONTRATO;CNPJ
;008666;2026.0261;SESI-DR/ES;VIGENTE;INSTITUTO EUVALDO LODI - IEL/ES;04/08/2026;04/08/2027;8666;SERVIÇOS TÉCNICOS ESPECIALIZADOS;SERVIÇOS TÉCNICOS ESPECIALIZADOS;10.704,00;28.164.937/0001-11
;006850;2026.0171;FINDES;VIGENTE;DELOITTE TOUCHE TOHMATSU CONSULTORES LTDA.;04/08/2026;04/08/2027;6933;ASSESSORIA E CONSULTORIA EM INOVAÇÃO;ASSESSORIA E CONSULTORIA EM INOVAÇÃO;90.000,00;02.189.924/0001-03
;001151;2026.0245;CONEF;VIGENTE;UBER DO BRASIL TECNOLOGIA LTDA.;03/08/2026;03/08/2027;1235;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;633.500,00;17.895.646/0001-87
;001151;2026.0245;CINDES;VIGENTE;UBER DO BRASIL TECNOLOGIA LTDA.;03/08/2026;03/08/2027;1235;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;633.500,00;17.895.646/0001-87
;001151;2026.0245;IEL/ES;VIGENTE;UBER DO BRASIL TECNOLOGIA LTDA.;03/08/2026;03/08/2027;1235;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;633.500,00;17.895.646/0001-87
;001151;2026.0245;SENAI-DR/ES;VIGENTE;UBER DO BRASIL TECNOLOGIA LTDA.;03/08/2026;03/08/2027;1235;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;633.500,00;17.895.646/0001-87
;001151;2026.0245;FINDES;VIGENTE;UBER DO BRASIL TECNOLOGIA LTDA.;03/08/2026;03/08/2027;1235;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;633.500,00;17.895.646/0001-87
;001151;2026.0245;SESI-DR/ES;VIGENTE;UBER DO BRASIL TECNOLOGIA LTDA.;03/08/2026;03/08/2027;1235;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;TRANSPORTE DE PASSAGEIRO COM MOTORISTA, COMPLEMENTO: SERVICOS;633.500,00;17.895.646/0001-87
;567154;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;20207;CREME PROTETOR, COMPLEMENTO: PELE GRUPO 1 SILICONE;CREME PROTETOR, COMPLEMENTO: PELE GRUPO 1 SILICONE;1.320.408,70;02.577.095/0001-36
